OPTIMAL_RESULT: 0.888
CONGESTION_DATA: Rate=0.3
CONGESTION_DATA: Rate=0.3
CONGESTION_DATA: Rate=0.3
CONGESTION_DATA: Rate=0.3
CONGESTION_DATA: Rate=0.3
ACO: Broadcasting Forward Ant to find 10.1.0.60
CONGESTION_DATA: Rate=0.3
ACO DYNAMIC EVAPORATION | rho=0.23125 | old=1 | new=0.76875
ACO DYNAMIC EVAPORATION | rho=0.23125 | old=1 | new=0.76875
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO: Broadcasting Forward Ant to find 10.1.0.60
ACO: Broadcasting Forward Ant to find 10.1.0.59
ACO DYNAMIC EVAPORATION | rho=0.2625 | old=0.76875 | new=0.566953
ACO DYNAMIC EVAPORATION | rho=0.2625 | old=0.76875 | new=0.566953
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO: Broadcasting Forward Ant to find 10.1.0.60
ACO: Broadcasting Forward Ant to find 10.1.0.59
ACO: Broadcasting Forward Ant to find 10.1.0.58
METRIC_CONGESTION: 0.15625
CONGESTION_DATA: Rate=0.3
ACO DYNAMIC EVAPORATION | rho=0.29375 | old=0.566953 | new=0.400411
ACO DYNAMIC EVAPORATION | rho=0.29375 | old=0.566953 | new=0.400411
ACO DYNAMIC EVAPORATION | rho=0.2625 | old=1 | new=0.7375
ACO DYNAMIC EVAPORATION | rho=0.2625 | old=1 | new=0.7375
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.64 | new=0.512
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.64 | new=0.512
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.64 | new=0.512
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.64 | new=0.512
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.64 | new=0.512
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.64 | new=0.512
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.64 | new=0.512
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.64 | new=0.512
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.64 | new=0.512
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.64 | new=0.512
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.64 | new=0.512
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.64 | new=0.512
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.64 | new=0.512
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.64 | new=0.512
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.64 | new=0.512
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.64 | new=0.512
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.64 | new=0.512
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO: Broadcasting Forward Ant to find 10.1.0.60
ACO: Broadcasting Forward Ant to find 10.1.0.59
ACO: Broadcasting Forward Ant to find 10.1.0.58
ACO: Destination 10.1.0.59 reached! Bouncing Backward Ant back.
PATH_TRACE | PktUID: 206 | SRC: 10.1.0.59 -> HOP: 10.1.0.10 | DST: 10.1.0.10
METRIC_CONGESTION: 0.15625
ACO DYNAMIC EVAPORATION | rho=0.325 | old=0.400411 | new=0.270277
ACO DYNAMIC EVAPORATION | rho=0.325 | old=1 | new=0.675
ACO DYNAMIC EVAPORATION | rho=0.325 | old=0.400411 | new=0.270277
ACO DYNAMIC EVAPORATION | rho=0.325 | old=1 | new=0.675
ACO DYNAMIC EVAPORATION | rho=0.29375 | old=0.7375 | new=0.520859
